abastardosalas	zeitan					
abedra	abedra	676025	abedra	abedra		
abloom	abloom		andrewbloom			
aeyal	avivey	2253659				
ahua	hhua		hhua_			
aotarola	aotarola					
ashish	tundal45	59968	tundal45	tundal45	tundal45	
atrivedi	partriv	555306				
barp	brandonarp					
betacar	betacar	315748	betacar		betacar	
bmccallister	brianm	499395				
brettk	bkochendorfer					
brwilliams	2016bmw					
carl	carlthuringer	722320				
carlo	jcfrancisco		jcfrancisco			
carlos	crandrad	395925				
cchacin	cchacin	877429	carloschacin	cchacin	cchacin	
chi	choang					
chrisg	christopher-gordon					
cliu	buy	2953524	cliu70			
cpowers	chrisjpowers		chrisjpowers		chrisjpowers	
danderson	whatstin		whatstin			
davida	hobodave	105662	hobodave			
dbeard	daniel-beard	1144632				
dbreen	ometa					
dburwell	dustyburwell	77040	dustyburwell	dustyburwell	dustyburwell	
dbushong	dbushong					
dchetlin	dlchet	927639				
dconrad	danmconrad		danmconrad			
deepika	misradeepika					
dhanley	davidhanley		yoga_dave			
deivinsontejeda	deivinsontejeda	1135241	deivinsontejeda			
denny	dennyabraham	77970		dennyabraham	dennyabraham	
dlangdon	dlangdon	1766382				
dmarano	deanmarano	1427403	pleiadeez	deanmarano		
doc	docondev	1406332	docondev	docondev	docondev	
dseifert	seifertd	888782	dougseifert	seifertd		
ebenoist	ebenoist	1593474				
ebenoist	ebenoist	1593474	erikbenoist			
egonzalez	emdagon	1454739				
ehyche	ometa	3888396	ehyche			
fbrahm	felipebrahm	694086	felipebrahm			
florent	flochtililoch	237637	flochtililoch			
frojas	frojasg	1822270	frojasg	frojasg	frojasg	
garyf	gfredericks		gfredericks_			
geoff	gmassanek		gmassanek			
goyox86	goyox86				goyox86	
graham-kelly		18744				
hbarney	hbarney		hamishbarney			
ho	andrewgho					
hschmiedehausen	hgschmie		hgschmie			
hung	zocoi					
ingo	ingoclaro					
iodea	iaman		iaman		iaman	
jankrems	jkrems	916619	jankrems			
jarayacerda	delpho	2656934				
jfelice	eraserhd		eraserhd			
jguo	jiaqi					
jhoman	jonhoman					
jlong	banterability	5319		banterability	banterability	
jmarzetti	yonpols		yonpols			
jpodlech	jpodlech					
jrobinson	jayrobinson	686665		jayrobinson		
jsoo	joanneliyeng	3766956				
jtelford	jesstelford	473961	jesstelford	jesstelford		
jwaggoner	malloc47	1078605	malloc47	malloc47		
karan	kkaushik		kasquared			
karp	karsep5	1863414	karsep5			
kyleo	koppenheim					
leedwards	ledwards	360999			ledwards	
ltangati	ltangati					
maparicio	peruvianidol		peruvianidol		peruvianidol	
martin	martinparedes		martin_paredes			
mawilliams	williamsmatt	1493113	m_ttw			
mburton	emmby	82156	roboguice			http://www.amazon.com/Android-Application-Development-For-Dummies/dp/1118387104
michlee	michael0x2a	646543				
mhines	michaelphines	2517798	michaelphines			
mlutton	mlutton		mlutton			
mmoore	mooremo					
moikarinen	matoikar					
mpresman	maxpresman					
msaidi	knoma	755706				
mrodzuan	wafiq	405956	wfxyz			
naren	nchainani	756598				
nrafique	nrafique					
p1nox	p1nox	1053067	p1nox			
pbergstrom	pbergstr	2065787				
pfuentes	pedrofuentes	1236983		pedrofuentes	pedro	
plinio	pecorrea		plinium			
preethi	preethinarayan					
prerna	prerna					
qzhang	miccrun					
rafael.perez	rafaelperez					
ramil	rahimsiz		rahimsiz			
reacuna	reacuna	239790	reacuna			
renatomoya	renatomoya	1563374	renatomoya			
rkrueger	raykrueger		raykrueger			
rmatusiewicz	rmatusiewicz					
rthai	seato	1666688				
ryank	rykann		rykann			
sdevinarayanan	shivanathd	582605	shivanathd			
sekkim	teleolurian		teleolurian			
sjustin	nvts8a	1922380	nvts8a			
smassa	endangeredmassa	106	endangeredmassa	endangeredmassa		
smitchell	thestevemitchell	1486754				
soxley	xonev	3831	xonev	xonev		
srogers	scottrogers					
tblease	thetristan		thetristan			
tisho	tisho					
tmacdonald	tsmacdonald	220529	tsmacdonald			
tmack	tmack8001	244397	tmack8001			
traack	dinoboy197	474043				
trek	trek	1584375	trek	trek	trek	
tsheridan	trevorsheridan	3386107				
tuomas	artman	454972				
twebb	twebb		twebb	twebb		
tyler	tjennings					
vjoy	vivinjoy	1002588				
vyevenes			vyevenes			
wilalvarez	satanas	1172219	satanas82			
jchallenger	challeng	1252633	jim_challenger			
ageitgey	ageitgey		ageitgey			
agkogkakis	agkogkakis		antonios_gk			
jpliske	jonpliske		jonpliske			
dpreussler	dpreussler		PreusslerBerlin	preusslerberlin		
abhi	abhishekpillai		abhiondemand			
csessa	macarse	119895	macarse			http://manning.com/sessa/
ctaylor	ccmtaylor		ccmtaylor			
jadasilvapereir	tangzero	1209378	tangzero			
shinji	shinjikuwayama	1102503	shinjikuwayama	shinjikuwayama	shinjikuwayama	
kgoudeaux	kgoudeaux		kgoudeaux			
burton						
tgentet-obrien	tgentet-obrien	2301825	Mr_Gentet			
snicolas	stephanenicolas	693752			stephanenicolas	
kpostlewaite	kevinpostlewaite	1839849	kpost			
shusingh	shubhitms		shubhitms			
mccullough	mcculloughsean		mcculloughsean		mcculloughsean	
anma	ajma	60117				
swerner	swerner	505299	scottwisme			
anerella	aswani521		aswani521			
sweber	stevenweber					
dschroeder	udondan	2753241				
nlafongracia	nextorlg	110624	nestorlafon			
tgaleckas	timgaleckas		timgaleckas			
chlr	mig-foxbat	647129				
tarakawairie			tulio_irie			
jraman	jraman		jayanth			
aahuja	hyades					
jyanowitz	yanowitz	159400	yanowitz	yanowitz		
